[header]
width=25
height=19
tilewidth=32
tileheight=32

[tilesets]
tileset=tiles-1.png,32,32,0,0

[layer]
type=Tile Layer 1
data=
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,3,4,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,4,0,0,0,0,
0,0,0,0,1,3,3,4,0,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,
0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,4,0,
0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,4,0,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,
3,3,3,3,3,4,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
0,0,0,0,0,0,0,0,1,4,0,0,0,1,3,4,0,0,0,1,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,1,3,3,4,0,0,
0,0,0,0,1,3,4,0,0,0,0,1,4,0,0,0,0,1,3,4,0,0,4,0,0,
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
0,0,0,1,3,3,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,0,0,0,1,0,0,1,0,0,
1,3,4,0,0,0,1,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,
1,3,4,0,0,0,1,4,0,0,0,1,1,0,0,1,4,0,1,1,1,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

